Index,Image_ID,Breed,Chest_Girth_cm,Back_Length_cm,Withers_Height_cm,Recommended_Size,Fit_Ratio,Sizing_Verdict,3D_Mesh_OBJ_Path,VTON_Image_PNG_Path
64,golden_golden_retriever_dog_show_bing_00063,Golden Retriever,115.9,37.1,73.4,XL,1.171,Tight,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00063_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00063_vton_XL.png
65,golden_golden_retriever_dog_show_bing_00064,Golden Retriever,92.0,60.2,72.3,L,1.07,Tight,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00064_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00064_vton_L.png
66,golden_golden_retriever_dog_show_bing_00065,Golden Retriever,81.4,51.1,67.1,L,0.947,Good Fit,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00065_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00065_vton_L.png
67,golden_golden_retriever_dog_show_bing_00066,Golden Retriever,71.3,53.4,64.3,M,0.951,Good Fit,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00066_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00066_vton_M.png
68,golden_golden_retriever_dog_show_bing_00067,Golden Retriever,91.8,6.7,54.0,L,1.067,Tight,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00067_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00067_vton_L.png
69,golden_golden_retriever_dog_show_bing_00068,Golden Retriever,88.0,50.2,68.4,L,1.023,Good Fit,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00068_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00068_vton_L.png
70,golden_golden_retriever_dog_show_bing_00069,Golden Retriever,75.0,47.9,70.1,M,1.0,Good Fit,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00069_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00069_vton_M.png
71,golden_golden_retriever_dog_show_bing_00070,Golden Retriever,98.3,54.7,71.1,XL,0.993,Good Fit,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00070_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00070_vton_XL.png
72,golden_golden_retriever_dog_show_bing_00071,Golden Retriever,100.6,45.1,50.8,XL,1.016,Good Fit,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00071_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00071_vton_XL.png
73,golden_golden_retriever_dog_show_bing_00072,Golden Retriever,87.0,50.2,68.4,L,1.012,Good Fit,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00072_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00072_vton_L.png
74,golden_golden_retriever_dog_show_bing_00073,Golden Retriever,75.6,97.4,55.3,M,1.008,Good Fit,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00073_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00073_vton_M.png
75,golden_golden_retriever_dog_show_bing_00074,Golden Retriever,73.8,53.1,57.3,M,0.984,Good Fit,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00074_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00074_vton_M.png
76,golden_golden_retriever_dog_show_bing_00075,Golden Retriever,77.3,48.0,81.3,M,1.031,Good Fit,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00075_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00075_vton_M.png
77,golden_golden_retriever_dog_show_bing_00076,Golden Retriever,100.4,54.6,78.4,XL,1.014,Good Fit,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00076_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00076_vton_XL.png
78,golden_golden_retriever_dog_show_bing_00077,Golden Retriever,117.6,28.2,75.7,XL,1.188,Tight,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00077_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00077_vton_XL.png
